Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;47.6;0.224463604;0;1;0;1;0;0;1;0;0;0;0;0;0;0.829310207;0.503;0
1;33.66;1.244092072;1;0;0;1;0;0;1;0;0;0;0;0;0;0.574042849;0.7305;0
1;10;1.224572509;1;0;0;1;0;0;0;0;1;0;0;0;0;0.39795738;0.7992;0
1;30;1.546258049;1;0;0;0;1;0;0;0;0;0;0;1;0;0.694028682;0.672222222;0
1;25.8;1.297351264;1;0;0;0;1;0;0;0;0;0;0;1;0;0.602070849;0.705333333;0
1;40;1.291942794;1;0;0;0;1;0;0;0;0;0;1;0;0;0.778158489;0.7845;0
1;20.8;1.02542365;1;0;0;0;1;0;0;0;0;0;1;0;0;0.602070849;0.75075;0
1;30.276;1.341785227;1;0;0;0;1;0;1;0;0;0;0;0;0;0.569775632;0.744857143;0
1;30;1.308669024;1;0;0;0;1;0;1;0;0;0;0;0;0;0.512341912;0.7513;0
1;27.6;1.252071282;1;0;1;0;0;0;1;0;0;0;0;0;0;0.544080453;0.746264122;0
1;14;1.342247913;1;0;0;1;0;0;1;0;0;0;0;0;0;0.562304763;0.748;0
1;30;1.739152654;1;0;0;0;1;0;1;0;0;0;0;0;0;0.839065135;0.815;0
1;28;1.706272238;1;0;0;1;0;0;1;0;0;0;0;0;0;0.812920038;0.7651;0
1;19.2;1.991999894;1;0;0;0;1;0;1;0;0;0;0;0;0;0.643462547;0.851;0
1;28;2.025479567;1;0;0;1;0;0;1;0;0;0;0;0;0;0.602070849;0.668;0
1;43.5;1.297351264;1;0;0;0;1;0;0;0;0;0;1;0;0;-0.045709238;0.8555;1
1;21.8;1.421752174;1;0;0;1;0;0;0;0;0;0;0;1;0;4.34E-05;0.778375;1
1;30;1.201839429;1;0;0;1;0;0;0;0;0;0;0;1;0;0.146159056;0.8405;1
1;15;1.361215752;1;0;0;0;1;0;0;0;0;0;1;0;0;0.041432165;0.81016;1
