x;y;ecoreg
-45.579164;-16.327639;6
-42.264105;-16.238885;6
-42.117867;-16.142252;4
-45.8055;-22.1001;1
-44.175;-21.098611;6
-44.179258;-21.099575;6
-44.705742;-16.338459;6
-48.034444;-19.674444;6
-47.964722;-19.773889;6
-47.934248;-19.763614;6
-47.942795;-19.735122;6
-48.1457;-18.7963;1
-48.249456;-18.872638;6
-48.312457;-18.852262;6
-48.204825;-18.952353;6
-48.3944;-19.1687;6
-48.359633;-18.781186;6
-48.4075;-19.165278;6
-48.231389;-18.86;6
-48.228314;-18.909831;6
-48.228495;-18.91023;6
-48.129227;-19.152134;6
-48.16652;-18.816158;6
-48.394533;-19.174807;6
-43.369247;-21.735255;4
-45.539226;-16.228087;6
-45.400556;-21.573611;1
-44.070123;-15.715382;5
-45.357192;-22.544113;9
-42.866807;-20.759403;4
-42.916667;-20.783333;4
-42.868315;-20.754487;4
-42.862778;-20.797222;4
-42.846536;-20.796625;4
-42.851919;-20.807285;4
-42.859289;-20.755753;4
-42.860737;-20.725412;4
-42.875657;-20.767981;4
-42.875657;-20.767981;4
-42.861303;-20.754414;4
-42.847222;-20.795556;4
-42.847222;-20.795833;4
-54.539218;-19.79092;6
-54.419071;-20.560944;6
-57.018499;-19.575143;8
-57.446985;-19.021492;8
-54.739254;-18.468284;6
-54.906479;-22.285218;6
-54.908524;-22.381242;1
-53.535265;-22.785544;1
-57.516667;-19.1;8
-57.524007;-19.179218;8
-57.586853;-19.168016;8
-57.571457;-19.187839;8
-57.600755;-19.176084;8
-56.233333;-20.266667;6
-56.240248;-20.268046;6
-53.286223;-22.744912;1
-53.26005733;-22.73515867;1
-54.615853;-20.509397;6
-58.30122536;-16.35915091;6
-51.768333;-12.824111;6
-51.770083;-12.818778;6
-51.765528;-12.834028;6
-55.395236;-15.809132;6
-55.410892;-15.828463;6
-56.37;-16.253333;8
-56.2339;-16.5528;8
-56.285972;-16.588015;8
-56.036776;-16.726684;6
-56.021288;-16.703225;6
-51.612233;-14.173078;6
-56.53;-16.319444;8
-59.925909;-15.050589;8
-56.0214;-22.6342;1
-35.744838;-6.967805;7
-35.744838;-6.967805;7
-35.744838;-6.967805;7
-35.794038;-6.884496;5
-36.893995;-7.472491;5
-35.62184288;-6.630405768;5
-37.377966;-7.250659;5
-34.8519835;-7.1396705;7
-37.1916;-7.8372;5
-37.828611;-6.875278;5
-37.243075;-7.191911;5
-37.383333;-7;5
-35.242461;-7.638642;5
-36.404881;-8.198594;5
-36.318486;-8.150726;5
-35.0625;-8.208333;7
-34.984865;-8.316121;7
-36.029308;-8.368331;5
-35.776464;-8.630945;7
-38.182657;-8.298735;5
-34.982296;-7.818065;7
-35.018056;-8.53;7
-35.16415;-7.498873;7
-35.183172;-7.427898;7
-35.178495;-8.059292;7
-35.19475;-7.742696;7
-40.316223;-9.066214;5
-40.28361111;-9.096944444;5
-38.027071;-8.655019;5
-34.953545;-8.099302;7
-34.961874;-8.071444;7
-34.961389;-8.0775;7
-35.175194;-8.575278;7
-35.15230267;-8.560503;7
-35.169097;-8.576875;7
-35.467489;-7.621603;5
-35.512565;-7.615255;5
-35.178056;-8.7275;7
-41.72424;-4.115988;5
-41.712398;-4.100752;5
-48.675326;-25.319185;9
-48.655246;-25.29552;9
-48.66681;-25.246613;9
-51.827215;-23.266179;1
-51.513895;-24.792622;2
-51.514575;-24.768865;2
-49.816834;-24.811835;2
-52.859444;-22.618333;1
-52.861959;-22.613124;1
-52.885719;-22.59916;1
-52.887174;-22.590454;1
-51.95;-23.916667;1
-51.69662908;-25.42214923;2
-51.395406;-25.323829;2
-51.527003;-25.446767;2
-50.986815;-23.302047;1
-48.320734;-25.506771;9
-50.773538;-23.722557;2
-50.969155;-23.529978;1
-51.254608;-23.445185;1
-51.233741;-23.457495;1
-51.25;-23.45;1
-51.249697;-23.457614;1
-51.240854;-23.392632;1
-50.566585;-23.161861;1
-49.985271;-25.233529;2
-52.90683673;-25.5075187;1
-50.485591;-25.678468;2
-53.320944;-22.791283;1
-53.258889;-22.753889;1
-50.749635;-23.925934;2
-50.891907;-23.768103;2
-50.597634;-24.326798;2
-50.418457;-24.500579;2
-50.256017;-24.652469;2
-50.308417;-24.143083;2
-42.583333;-22.466667;9
-42.516667;-22.408333;9
-41.402924;-21.7000154;4
-41.11898014;-21.37092386;4
-43.828333;-22.803056;9
-42.908686;-22.535234;9
-42.871622;-22.480138;9
-42.837276;-22.542815;9
-42.845853;-22.575479;9
-42.758343;-22.46511;9
-42.80141;-22.500764;9
-42.0019922;-21.0527214;4
-44.199481;-23.180446;9
-44.193297;-23.14281;9
-41.638927;-22.262064;9
-42.24888176;-22.58335269;9
-42.4600248;-22.6178492;9
-43.629167;-22.978056;9
-42.447222;-22.927505;9
-42.345299;-22.532224;9
-43.006331;-22.459482;9
-41.966136;-21.400252;4
-35.189065;-5.815153;7
-53.27497;-29.461793;10
-53.27497;-29.461793;10
-52.776698;-30.006342;10
-52.795133;-30.001866;10
-52.791275;-29.998973;10
-52.810887;-29.986589;10
-52.88802543;-30.07945944;10
-51.877136;-30.698526;10
-50.117472;-29.171141;2
-52.841667;-29.708333;10
-53.886795;-27.924948;10
-51.908203;-31.025604;10
-52.305932;-27.717727;2
-52.712117;-27.389975;10
-52.129752;-27.549216;2
-53.083938;-32.069623;10
-55.860651;-30.874525;10
-55.860651;-30.874525;10
-51.934894;-27.491848;2
-50.937862;-29.003109;2
-51.423223;-29.822761;10
-49.976389;-29.358333;9
-52.4759725;-31.448611;10
-52.38342;-30.109032;10
-52.387508;-30.106942;10
-52.6373545;-31.9084615;10
-53.858551;-27.230215;10
-53.883333;-27.15;10
-53.034753;-31.585192;10
-50.954726;-29.6;10
-50.375;-29.605556;10
-53.809722;-29.540833;10
-52.472604;-31.448282;10
-52.533104;-29.389832;10
-53.720923;-29.711886;10
-53.900305;-29.633261;10
-50.07061;-29.632155;9
-49.808587;-29.401625;9
-51.00375331;-30.38164866;10
-51.0456098;-30.3840401;10
-52.666667;-29.566667;10
-53.433128;-27.395667;2
